Feature_Group,Model,Folds,Features_mean,Train_MAE_mean,Train_RMSE_mean,Train_R2_mean,Valid_MAE_mean,Valid_MAE_std,Valid_RMSE_mean,Valid_RMSE_std,Valid_R2_mean,Valid_R2_median,Valid_R2_std,Valid_R2_min,Valid_R2_max,RMSE_Gap_mean,R2_Gap_mean,Baseline_RMSE_mean,RMSE_Improvement_mean_pct,OOF_MAE,OOF_RMSE,OOF_R2
SR,BayesianRidge,5,40.0,0.1594351032614982,0.2053547962452759,0.7147353028708533,0.1849929893774466,0.028994971408604672,0.23628069182805528,0.034883184892411975,0.5827422002238565,0.6084567510090262,0.08696847316785736,0.45618152425452596,0.6597339867120513,0.030925895582779417,0.13199310264699685,0.3858287977148692,38.51499490770174,0.19088751289371492,0.2444321521635215,0.5985928134035465
SR,Ridge,5,40.0,0.15523936610912895,0.20101123601192855,0.7266911374073209,0.18648923068217624,0.027871240879061288,0.23860413641922085,0.03414883930452484,0.5745599193117971,0.5821101302500288,0.08357525740034358,0.4597321205069105,0.6636989202093786,0.03759290040729232,0.15213121809552385,0.3858287977148692,37.88929691974752,0.19204554223141518,0.24615024546760023,0.5929300660338421
LR,BayesianRidge,5,40.0,0.1554237550404299,0.20091086594892776,0.7266211557586374,0.18235669903422674,0.040791616011841766,0.23568396991808832,0.05014860933569547,0.5771535671600553,0.669953904492528,0.15584635258275692,0.37646339175501686,0.716268338036512,0.03477310396916057,0.14946758859858209,0.3858287977148692,38.631421224027214,0.19069004418405563,0.24928567307703867,0.5824936172098824
LR,ElasticNet,5,40.0,0.17042669153952586,0.21712751628523147,0.6809391250498288,0.19080421188232258,0.029253751550765993,0.24161892678740413,0.03169742369152518,0.5575251658823515,0.5952611519834088,0.12166802334170473,0.34998245962773167,0.6496038157313844,0.02449141050217265,0.12341395916747733,0.3858287977148692,36.954647674780325,0.19696922156389074,0.24969639778603692,0.5811167113380082
SR,ElasticNet,5,40.0,0.17641038660842107,0.2233966277398028,0.6623228553344843,0.196834679091996,0.021589020761485816,0.24471360568780778,0.024627339446175938,0.5514139171695787,0.5748354110073527,0.07036505375030883,0.4280247563000027,0.6028577508479092,0.021316977948004995,0.11090893816490568,0.3858287977148692,36.27649863952171,0.20129314489341732,0.25025570407907965,0.5792380582759126
LR,Ridge,5,40.0,0.1526743781121218,0.1978659271842244,0.734873518640992,0.18405542532243366,0.043554112668119135,0.23853282723622343,0.05452320490909582,0.5637105377725644,0.6462758535243971,0.17531709890521566,0.3491484726401761,0.7406243053599593,0.040666900051999064,0.17116298086842766,0.3858287977148692,37.871290115629684,0.1926131611681438,0.2534616661969573,0.5683884566004627
SR,SVR,5,40.0,0.10995988762071444,0.14746496012840402,0.8520068123917517,0.19612762396518474,0.02297443658449006,0.25116486866835636,0.028189235676040023,0.5039581088361419,0.6119094737541255,0.20113991212023946,0.1804353754392034,0.6466744811407298,0.1036999085399523,0.3480487035556098,0.3858287977148692,33.96130907203623,0.19941185343147586,0.2561274751439933,0.5592616748202924
LR,XGBoost,5,40.0,0.012245119638841652,0.01676218878352157,0.9980829414676838,0.19212511470829105,0.022159486092551528,0.2523663423413768,0.03247299133181885,0.5053091903239352,0.5997468286191648,0.1920305821857127,0.1711595580846621,0.6376037100344466,0.2356041535578552,0.49277375114374855,0.3858287977148692,33.83091562222503,0.19656354955049826,0.25932127378730757,0.5482015124617363
SR,Linear,5,40.0,0.15106179870200023,0.19602092641406166,0.740199966166355,0.19770778357495172,0.020529225303686102,0.2547450789727989,0.025959048475685746,0.5118516477371801,0.5147438054364541,0.08676186708630543,0.38726762355930733,0.6316750999509977,0.058724152558737266,0.22834831842917497,0.3858287977148692,33.53921999520288,0.20193787030521254,0.2599918466914455,0.5458619008052962
LR,HistGradientBoosting,5,40.0,0.02787281307588469,0.04106741496072044,0.9885810368465577,0.1945158750939443,0.02285022567462936,0.2559782203405518,0.027231695506666504,0.4956846433468593,0.5369396627439895,0.1643088632596081,0.2148057509215573,0.6237238486287378,0.21491080537983134,0.49289639349969844,0.3858287977148692,32.934102513386925,0.1987265782231441,0.2613549910046931,0.5410873000757322
