Dataset,Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,RMSE_Gap,R2_Gap,Features
LR|important_decorrelated,BayesianRidge,16.459225384730285,15.030521694447152,21.159348944713713,20.06834604936594,0.7021112257818332,0.7209776427015788,-1.0910028953477742,-0.018866416919745665,40
LR|important_decorrelated,ElasticNet,16.215571740806578,15.239329458538652,20.909017836710543,20.39970790604982,0.709118030429051,0.7116873226337627,-0.5093099306607236,-0.002569292204711693,40
LR|important_decorrelated,Ridge,16.037657101064624,15.714006767990943,20.74112109175836,20.899751296248258,0.7137707648842854,0.6973796861689167,0.15863020448989928,0.016391078715368712,40
SR|important_decorrelated,BayesianRidge,16.58983529755857,16.309646726105615,21.380006046725175,21.343665432197994,0.6958658532814259,0.6843877507378993,-0.03634061452718029,0.011478102543526658,40
SR|important_decorrelated,ElasticNet,16.37068500399009,16.402191561116933,21.137946077594854,21.41887771004333,0.702713555214787,0.6821594792247256,0.28093163244847474,0.020554075990061316,40
SR|important_decorrelated,Ridge,16.109929474081174,16.711580069252275,20.858214307029893,21.610461561073063,0.7105298497433814,0.676448120780635,0.7522472540431693,0.034081728962746416,40
LR|important_decorrelated,HistGradientBoosting,3.1805987483493716,16.264428410935963,4.487211740115824,22.30423778150148,0.9866031509944085,0.6553402141263114,17.817026041385656,0.33126293686809716,40
LR|important_decorrelated,XGBoost,1.268883674953864,17.63375850444803,1.7315314935053974,23.16235679875996,0.9980051496283222,0.6283096073423684,21.43082530525456,0.3696955422859538,40
LR|important_decorrelated,Linear,15.938698675322499,18.156000159402513,20.503892433094997,23.605258284149897,0.7202808720779179,0.6139590687312342,3.1013658510549007,0.10632180334668373,40
SR|important_decorrelated,Linear,15.609294855584933,18.46496400726825,20.209770865761175,23.685941218054595,0.7282482714725538,0.6113155776284971,3.476170352293419,0.11693269384405669,40
LR|important_decorrelated,GradientBoosting,5.26451230894917,17.21515064005119,6.9136915502098875,24.065109253128814,0.9681968940739891,0.5987717381116396,17.151417702918927,0.3694251559623495,40
SR|important_decorrelated,HistGradientBoosting,3.175794067307231,18.048736029765145,4.595385636378284,24.21501582811622,0.9859494455961927,0.5937575005097795,19.619630191737933,0.3921919450864132,40
LR|important_decorrelated,LGBM_small,14.930610125704376,19.240678871451614,19.192590849701475,24.729888759727576,0.7549149919579614,0.5762983387949026,5.537297910026101,0.17861665316305886,40
SR|important_decorrelated,CatBoost,3.954593952705452,17.780318765694094,5.2503865730004575,24.833778977913063,0.9816586162644907,0.5727309213116929,19.583392404912605,0.4089276949527978,40
LR|important_decorrelated,ExtraTrees,0.04672897196261682,18.295661057692307,0.5539436637010275,25.066748682232348,0.9997958352627774,0.5646767580712075,24.51280501853132,0.43511907719156984,40
LR|important_decorrelated,CatBoost,4.390556110886856,17.633619784166946,5.759191083553028,25.160606897290215,0.977931515384648,0.5614106658335036,19.401415813737188,0.4165208495511443,40
SR|important_decorrelated,XGBoost,1.2780855456918385,18.60925429823307,1.779471073038824,25.269916839850765,0.9978931607477447,0.5575914958737509,23.49044576681194,0.4403016648739938,40
SR|important_decorrelated,ExtraTrees,0.04672897196261682,19.007475961538464,0.5539436637010275,25.6577898775448,0.9997958352627774,0.5439060310467976,25.103846213843774,0.4558898042159798,40
LR|important_decorrelated,RandomForest,6.333946261682243,19.501495993589742,8.507855255474764,25.84740460715766,0.951839640377695,0.5371399227674006,17.339549351682898,0.41469971761029434,40
SR|important_decorrelated,LGBM_small,15.229369849177392,19.286735576177502,19.124850994220388,25.874651430029616,0.7566419838899391,0.536163568362306,6.749800435809227,0.22047841552763303,40
SR|important_decorrelated,GradientBoosting,5.606203312731341,19.507415954487126,7.460956399701107,26.29792718661546,0.9629627664519472,0.5208639168806097,18.836970786914353,0.4420988495713375,40
LR|important_decorrelated,KNN,14.912772585669781,19.555576923076924,20.890602159032618,27.837219896003653,0.7096301950493372,0.4631319472365648,6.946617736971035,0.2464982478127724,40
SR|important_decorrelated,KNN,15.040809968847354,20.909423076923076,20.92294050205029,27.87960455243223,0.7087305229255656,0.46149584339533056,6.956664050381939,0.24723467953023504,40
SR|important_decorrelated,RandomForest,6.860286993769469,21.71529555860806,9.077624019298069,28.014564240412202,0.9451730713317105,0.4562696387849293,18.936940221114135,0.48890343254678115,40
LR|important_decorrelated,SVR,28.176166729145365,27.712749837925877,36.770000595348485,36.13026504511673,0.10042617594469638,0.09560503452697389,-0.6397355502317552,0.0048211414177224965,40
SR|important_decorrelated,SVR,28.62322137752054,28.26441135920074,36.78413130485456,36.2194412533087,0.0997346307329513,0.09113509533026354,-0.5646900515458597,0.008599535402687764,40
